"BehaviorSpace results (NetLogo 6.2.2)"
"Ants.nlogo"
"pheromone bomb"
"03/29/2023 18:42:16:099 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","foraging_strategies","blob_count","food_amount","population","salt","[step]","ticks"
"10","pheromone bomb","1","30","100","540000","85","85"
"5","pheromone bomb","1","30","100","240000","132","132"
"4","pheromone bomb","1","30","100","180000","183","183"
"9","pheromone bomb","1","30","100","480000","167","167"
"8","pheromone bomb","1","30","100","420000","195","195"
"14","pheromone bomb","1","45","100","180000","145","145"
"11","pheromone bomb","1","45","100","0","298","298"
"7","pheromone bomb","1","30","100","360000","331","331"
"6","pheromone bomb","1","30","100","300000","348","348"
"2","pheromone bomb","1","30","100","60000","293","293"
"1","pheromone bomb","1","30","100","0","331","331"
"3","pheromone bomb","1","30","100","120000","311","311"
"15","pheromone bomb","1","45","100","240000","302","302"
"13","pheromone bomb","1","45","100","120000","322","322"
"20","pheromone bomb","1","45","100","540000","156","156"
"12","pheromone bomb","1","45","100","60000","199","199"
"18","pheromone bomb","1","45","100","420000","215","215"
"17","pheromone bomb","1","45","100","360000","331","331"
"16","pheromone bomb","1","45","100","300000","441","441"
"19","pheromone bomb","1","45","100","480000","296","296"
"21","pheromone bomb","1","60","100","0","247","247"
"25","pheromone bomb","1","60","100","240000","284","284"
"23","pheromone bomb","1","60","100","120000","401","401"
"22","pheromone bomb","1","60","100","60000","377","377"
"26","pheromone bomb","1","60","100","300000","354","354"
"32","pheromone bomb","1","75","100","60000","190","190"
"27","pheromone bomb","1","60","100","360000","386","386"
"34","pheromone bomb","1","75","100","180000","204","204"
"30","pheromone bomb","1","60","100","540000","272","272"
"31","pheromone bomb","1","75","100","0","287","287"
"24","pheromone bomb","1","60","100","180000","392","392"
"29","pheromone bomb","1","60","100","480000","305","305"
"33","pheromone bomb","1","75","100","120000","239","239"
"38","pheromone bomb","1","75","100","420000","241","241"
"37","pheromone bomb","1","75","100","360000","331","331"
"43","pheromone bomb","1","90","100","120000","173","173"
"39","pheromone bomb","1","75","100","480000","303","303"
"41","pheromone bomb","1","90","100","0","271","271"
"42","pheromone bomb","1","90","100","60000","230","230"
"40","pheromone bomb","1","75","100","540000","404","404"
"28","pheromone bomb","1","60","100","420000","256","256"
"44","pheromone bomb","1","90","100","180000","264","264"
"35","pheromone bomb","1","75","100","240000","433","433"
"46","pheromone bomb","1","90","100","300000","269","269"
"50","pheromone bomb","1","90","100","540000","186","186"
"36","pheromone bomb","1","75","100","300000","432","432"
"55","pheromone bomb","1","105","100","240000","204","204"
"54","pheromone bomb","1","105","100","180000","215","215"
"47","pheromone bomb","1","90","100","360000","352","352"
"45","pheromone bomb","1","90","100","240000","437","437"
"48","pheromone bomb","1","90","100","420000","418","418"
"49","pheromone bomb","1","90","100","480000","375","375"
"52","pheromone bomb","1","105","100","60000","386","386"
"58","pheromone bomb","1","105","100","420000","151","151"
"56","pheromone bomb","1","105","100","300000","294","294"
"59","pheromone bomb","1","105","100","480000","209","209"
"57","pheromone bomb","1","105","100","360000","364","364"
"51","pheromone bomb","1","105","100","0","478","478"
"63","pheromone bomb","1","120","100","120000","229","229"
"64","pheromone bomb","1","120","100","180000","293","293"
"65","pheromone bomb","1","120","100","240000","304","304"
"53","pheromone bomb","1","105","100","120000","334","334"
"68","pheromone bomb","1","120","100","420000","212","212"
"62","pheromone bomb","1","120","100","60000","287","287"
"67","pheromone bomb","1","120","100","360000","248","248"
"60","pheromone bomb","1","105","100","540000","433","433"
"61","pheromone bomb","1","120","100","0","395","395"
"69","pheromone bomb","1","120","100","480000","225","225"
"70","pheromone bomb","1","120","100","540000","224","224"
"72","pheromone bomb","1","135","100","60000","245","245"
"66","pheromone bomb","1","120","100","300000","380","380"
"73","pheromone bomb","1","135","100","120000","304","304"
"78","pheromone bomb","1","135","100","420000","176","176"
"83","pheromone bomb","1","150","100","120000","182","182"
"81","pheromone bomb","1","150","100","0","254","254"
"77","pheromone bomb","1","135","100","360000","356","356"
"75","pheromone bomb","1","135","100","240000","395","395"
"71","pheromone bomb","1","135","100","0","549","549"
"79","pheromone bomb","1","135","100","480000","394","394"
"82","pheromone bomb","1","150","100","60000","379","379"
"80","pheromone bomb","1","135","100","540000","486","486"
"76","pheromone bomb","1","135","100","300000","485","485"
"85","pheromone bomb","1","150","100","240000","356","356"
"91","pheromone bomb","1","165","100","0","216","216"
"74","pheromone bomb","1","135","100","180000","529","529"
"84","pheromone bomb","1","150","100","180000","471","471"
"89","pheromone bomb","1","150","100","480000","413","413"
"93","pheromone bomb","1","165","100","120000","259","259"
"92","pheromone bomb","1","165","100","60000","406","406"
"87","pheromone bomb","1","150","100","360000","406","406"
"90","pheromone bomb","1","150","100","540000","446","446"
"94","pheromone bomb","1","165","100","180000","283","283"
"86","pheromone bomb","1","150","100","300000","434","434"
"88","pheromone bomb","1","150","100","420000","451","451"
"98","pheromone bomb","1","165","100","420000","226","226"
"96","pheromone bomb","1","165","100","300000","282","282"
"97","pheromone bomb","1","165","100","360000","241","241"
"95","pheromone bomb","1","165","100","240000","470","470"
"100","pheromone bomb","1","165","100","540000","286","286"
"102","pheromone bomb","1","180","100","60000","243","243"
"107","pheromone bomb","1","180","100","360000","240","240"
"99","pheromone bomb","1","165","100","480000","459","459"
"101","pheromone bomb","1","180","100","0","458","458"
"106","pheromone bomb","1","180","100","300000","358","358"
"108","pheromone bomb","1","180","100","420000","382","382"
"103","pheromone bomb","1","180","100","120000","473","473"
"113","pheromone bomb","1","195","100","120000","277","277"
"105","pheromone bomb","1","180","100","240000","437","437"
"104","pheromone bomb","1","180","100","180000","440","440"
"112","pheromone bomb","1","195","100","60000","354","354"
"110","pheromone bomb","1","180","100","540000","358","358"
"114","pheromone bomb","1","195","100","180000","333","333"
"111","pheromone bomb","1","195","100","0","371","371"
"116","pheromone bomb","1","195","100","300000","301","301"
"115","pheromone bomb","1","195","100","240000","371","371"
"109","pheromone bomb","1","180","100","480000","416","416"
"122","pheromone bomb","1","210","100","60000","218","218"
"119","pheromone bomb","1","195","100","480000","311","311"
"120","pheromone bomb","1","195","100","540000","293","293"
"117","pheromone bomb","1","195","100","360000","435","435"
"123","pheromone bomb","1","210","100","120000","264","264"
"127","pheromone bomb","1","210","100","360000","284","284"
"118","pheromone bomb","1","195","100","420000","477","477"
"125","pheromone bomb","1","210","100","240000","339","339"
"121","pheromone bomb","1","210","100","0","438","438"
"124","pheromone bomb","1","210","100","180000","377","377"
"129","pheromone bomb","1","210","100","480000","323","323"
"126","pheromone bomb","1","210","100","300000","471","471"
"134","pheromone bomb","1","225","100","180000","325","325"
"130","pheromone bomb","1","210","100","540000","559","559"
"136","pheromone bomb","1","225","100","300000","338","338"
"133","pheromone bomb","1","225","100","120000","382","382"
"132","pheromone bomb","1","225","100","60000","456","456"
"135","pheromone bomb","1","225","100","240000","391","391"
"137","pheromone bomb","1","225","100","360000","329","329"
"128","pheromone bomb","1","210","100","420000","385","385"
"138","pheromone bomb","1","225","100","420000","424","424"
"131","pheromone bomb","1","225","100","0","442","442"
"139","pheromone bomb","1","225","100","480000","319","319"
"140","pheromone bomb","1","225","100","540000","309","309"
"144","pheromone bomb","1","240","100","180000","264","264"
"143","pheromone bomb","1","240","100","120000","301","301"
"149","pheromone bomb","1","240","100","480000","235","235"
"145","pheromone bomb","1","240","100","240000","310","310"
"146","pheromone bomb","1","240","100","300000","351","351"
"141","pheromone bomb","1","240","100","0","650","650"
"142","pheromone bomb","1","240","100","60000","493","493"
"152","pheromone bomb","1","255","100","60000","316","316"
"147","pheromone bomb","1","240","100","360000","483","483"
"148","pheromone bomb","1","240","100","420000","373","373"
"154","pheromone bomb","1","255","100","180000","272","272"
"150","pheromone bomb","1","240","100","540000","529","529"
"151","pheromone bomb","1","255","100","0","458","458"
"156","pheromone bomb","1","255","100","300000","350","350"
"153","pheromone bomb","1","255","100","120000","458","458"
"157","pheromone bomb","1","255","100","360000","538","538"
"158","pheromone bomb","1","255","100","420000","483","483"
"155","pheromone bomb","1","255","100","240000","546","546"
"159","pheromone bomb","1","255","100","480000","482","482"
"162","pheromone bomb","1","270","100","60000","289","289"
"160","pheromone bomb","1","255","100","540000","510","510"
"166","pheromone bomb","1","270","100","300000","287","287"
