"BehaviorSpace results (NetLogo 6.2.2)"
"Ants.nlogo"
"pheromone trails"
"03/29/2023 16:58:36:949 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","foraging_strategies","blob_count","food_amount","population","salt","[step]","ticks"
"10","pheromone trails","1","30","100","540000","72","72"
"5","pheromone trails","1","30","100","240000","104","104"
"4","pheromone trails","1","30","100","180000","177","177"
"12","pheromone trails","1","45","100","60000","198","198"
"14","pheromone trails","1","45","100","180000","130","130"
"9","pheromone trails","1","30","100","480000","173","173"
"11","pheromone trails","1","45","100","0","289","289"
"13","pheromone trails","1","45","100","120000","265","265"
"8","pheromone trails","1","30","100","420000","188","188"
"2","pheromone trails","1","30","100","60000","273","273"
"20","pheromone trails","1","45","100","540000","145","145"
"15","pheromone trails","1","45","100","240000","336","336"
"3","pheromone trails","1","30","100","120000","294","294"
"18","pheromone trails","1","45","100","420000","205","205"
"17","pheromone trails","1","45","100","360000","334","334"
"1","pheromone trails","1","30","100","0","416","416"
"19","pheromone trails","1","45","100","480000","324","324"
"6","pheromone trails","1","30","100","300000","543","543"
"16","pheromone trails","1","45","100","300000","412","412"
"21","pheromone trails","1","60","100","0","247","247"
"7","pheromone trails","1","30","100","360000","377","377"
"32","pheromone trails","1","75","100","60000","161","161"
"22","pheromone trails","1","60","100","60000","467","467"
"28","pheromone trails","1","60","100","420000","243","243"
"25","pheromone trails","1","60","100","240000","275","275"
"31","pheromone trails","1","75","100","0","252","252"
"30","pheromone trails","1","60","100","540000","281","281"
"33","pheromone trails","1","75","100","120000","221","221"
"26","pheromone trails","1","60","100","300000","361","361"
"23","pheromone trails","1","60","100","120000","504","504"
"34","pheromone trails","1","75","100","180000","177","177"
"24","pheromone trails","1","60","100","180000","444","444"
"29","pheromone trails","1","60","100","480000","343","343"
"27","pheromone trails","1","60","100","360000","512","512"
"43","pheromone trails","1","90","100","120000","133","133"
"38","pheromone trails","1","75","100","420000","236","236"
"42","pheromone trails","1","90","100","60000","201","201"
"41","pheromone trails","1","90","100","0","242","242"
"39","pheromone trails","1","75","100","480000","276","276"
"44","pheromone trails","1","90","100","180000","234","234"
"37","pheromone trails","1","75","100","360000","359","359"
"46","pheromone trails","1","90","100","300000","227","227"
"50","pheromone trails","1","90","100","540000","169","169"
"49","pheromone trails","1","90","100","480000","306","306"
"54","pheromone trails","1","105","100","180000","176","176"
"48","pheromone trails","1","90","100","420000","390","390"
"55","pheromone trails","1","105","100","240000","176","176"
"40","pheromone trails","1","75","100","540000","483","483"
"35","pheromone trails","1","75","100","240000","556","556"
"52","pheromone trails","1","105","100","60000","327","327"
"47","pheromone trails","1","90","100","360000","341","341"
"58","pheromone trails","1","105","100","420000","141","141"
"45","pheromone trails","1","90","100","240000","482","482"
