"BehaviorSpace results (NetLogo 6.2.2)"
"Ants.nlogo"
"prey chain transfer"
"03/29/2023 21:51:07:531 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","foraging_strategies","blob_count","food_amount","population","salt","[step]","ticks"
"10","prey chain transfer","1","30","100","540000","101","101"
"4","prey chain transfer","1","30","100","180000","188","188"
"5","prey chain transfer","1","30","100","240000","153","153"
"9","prey chain transfer","1","30","100","480000","196","196"
"8","prey chain transfer","1","30","100","420000","228","228"
"6","prey chain transfer","1","30","100","300000","337","337"
"14","prey chain transfer","1","45","100","180000","188","188"
"2","prey chain transfer","1","30","100","60000","280","280"
"13","prey chain transfer","1","45","100","120000","280","280"
"3","prey chain transfer","1","30","100","120000","294","294"
"11","prey chain transfer","1","45","100","0","321","321"
"15","prey chain transfer","1","45","100","240000","294","294"
"1","prey chain transfer","1","30","100","0","352","352"
"20","prey chain transfer","1","45","100","540000","176","176"
"18","prey chain transfer","1","45","100","420000","245","245"
"17","prey chain transfer","1","45","100","360000","322","322"
"16","prey chain transfer","1","45","100","300000","429","429"
"12","prey chain transfer","1","45","100","60000","224","224"
"21","prey chain transfer","1","60","100","0","302","302"
"19","prey chain transfer","1","45","100","480000","345","345"
"25","prey chain transfer","1","60","100","240000","324","324"
"22","prey chain transfer","1","60","100","60000","379","379"
"26","prey chain transfer","1","60","100","300000","322","322"
"32","prey chain transfer","1","75","100","60000","215","215"
"28","prey chain transfer","1","60","100","420000","311","311"
"31","prey chain transfer","1","75","100","0","282","282"
"24","prey chain transfer","1","60","100","180000","380","380"
"27","prey chain transfer","1","60","100","360000","399","399"
"23","prey chain transfer","1","60","100","120000","419","419"
"34","prey chain transfer","1","75","100","180000","241","241"
"29","prey chain transfer","1","60","100","480000","313","313"
"33","prey chain transfer","1","75","100","120000","276","276"
"7","prey chain transfer","1","30","100","360000","369","369"
"37","prey chain transfer","1","75","100","360000","348","348"
"38","prey chain transfer","1","75","100","420000","272","272"
"43","prey chain transfer","1","90","100","120000","209","209"
"42","prey chain transfer","1","90","100","60000","247","247"
"39","prey chain transfer","1","75","100","480000","309","309"
"40","prey chain transfer","1","75","100","540000","432","432"
"44","prey chain transfer","1","90","100","180000","273","273"
"36","prey chain transfer","1","75","100","300000","414","414"
"35","prey chain transfer","1","75","100","240000","464","464"
"41","prey chain transfer","1","90","100","0","336","336"
"46","prey chain transfer","1","90","100","300000","314","314"
"30","prey chain transfer","1","60","100","540000","318","318"
"50","prey chain transfer","1","90","100","540000","247","247"
"47","prey chain transfer","1","90","100","360000","381","381"
"54","prey chain transfer","1","105","100","180000","238","238"
"48","prey chain transfer","1","90","100","420000","497","497"
"52","prey chain transfer","1","105","100","60000","380","380"
"49","prey chain transfer","1","90","100","480000","390","390"
"56","prey chain transfer","1","105","100","300000","327","327"
"55","prey chain transfer","1","105","100","240000","243","243"
"58","prey chain transfer","1","105","100","420000","217","217"
"53","prey chain transfer","1","105","100","120000","357","357"
"59","prey chain transfer","1","105","100","480000","271","271"
"51","prey chain transfer","1","105","100","0","535","535"
"63","prey chain transfer","1","120","100","120000","275","275"
"64","prey chain transfer","1","120","100","180000","324","324"
"60","prey chain transfer","1","105","100","540000","470","470"
"67","prey chain transfer","1","120","100","360000","311","311"
"62","prey chain transfer","1","120","100","60000","350","350"
"68","prey chain transfer","1","120","100","420000","239","239"
"61","prey chain transfer","1","120","100","0","399","399"
"45","prey chain transfer","1","90","100","240000","414","414"
