"BehaviorSpace results (NetLogo 6.2.2)"
"Ants.nlogo"
"solitary foraging"
"03/29/2023 20:47:07:691 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","foraging_strategies","blob_count","food_amount","population","salt","[step]","ticks"
"10","solitary foraging","1","30","100","540000","82","82"
"5","solitary foraging","1","30","100","240000","137","137"
"4","solitary foraging","1","30","100","180000","221","221"
"8","solitary foraging","1","30","100","420000","201","201"
"14","solitary foraging","1","45","100","180000","188","188"
"2","solitary foraging","1","30","100","60000","285","285"
"6","solitary foraging","1","30","100","300000","395","395"
"15","solitary foraging","1","45","100","240000","295","295"
"3","solitary foraging","1","30","100","120000","353","353"
"7","solitary foraging","1","30","100","360000","364","364"
"1","solitary foraging","1","30","100","0","342","342"
"20","solitary foraging","1","45","100","540000","183","183"
"18","solitary foraging","1","45","100","420000","267","267"
"12","solitary foraging","1","45","100","60000","236","236"
"17","solitary foraging","1","45","100","360000","336","336"
"9","solitary foraging","1","30","100","480000","203","203"
"16","solitary foraging","1","45","100","300000","542","542"
"19","solitary foraging","1","45","100","480000","351","351"
"21","solitary foraging","1","60","100","0","281","281"
"11","solitary foraging","1","45","100","0","330","330"
"13","solitary foraging","1","45","100","120000","305","305"
"22","solitary foraging","1","60","100","60000","410","410"
"23","solitary foraging","1","60","100","120000","427","427"
"30","solitary foraging","1","60","100","540000","285","285"
"25","solitary foraging","1","60","100","240000","378","378"
"34","solitary foraging","1","75","100","180000","237","237"
"31","solitary foraging","1","75","100","0","338","338"
"27","solitary foraging","1","60","100","360000","452","452"
"24","solitary foraging","1","60","100","180000","407","407"
"29","solitary foraging","1","60","100","480000","348","348"
"32","solitary foraging","1","75","100","60000","219","219"
"37","solitary foraging","1","75","100","360000","406","406"
"28","solitary foraging","1","60","100","420000","254","254"
"41","solitary foraging","1","90","100","0","309","309"
"38","solitary foraging","1","75","100","420000","279","279"
"42","solitary foraging","1","90","100","60000","267","267"
"39","solitary foraging","1","75","100","480000","327","327"
"33","solitary foraging","1","75","100","120000","287","287"
"26","solitary foraging","1","60","100","300000","353","353"
"40","solitary foraging","1","75","100","540000","471","471"
"35","solitary foraging","1","75","100","240000","527","527"
"36","solitary foraging","1","75","100","300000","511","511"
"44","solitary foraging","1","90","100","180000","305","305"
"46","solitary foraging","1","90","100","300000","299","299"
"43","solitary foraging","1","90","100","120000","193","193"
"55","solitary foraging","1","105","100","240000","214","214"
"54","solitary foraging","1","105","100","180000","252","252"
"47","solitary foraging","1","90","100","360000","379","379"
"56","solitary foraging","1","105","100","300000","297","297"
"48","solitary foraging","1","90","100","420000","463","463"
"50","solitary foraging","1","90","100","540000","212","212"
"52","solitary foraging","1","105","100","60000","389","389"
"58","solitary foraging","1","105","100","420000","172","172"
"49","solitary foraging","1","90","100","480000","401","401"
"53","solitary foraging","1","105","100","120000","336","336"
"59","solitary foraging","1","105","100","480000","262","262"
"62","solitary foraging","1","120","100","60000","343","343"
"65","solitary foraging","1","120","100","240000","335","335"
"61","solitary foraging","1","120","100","0","409","409"
"60","solitary foraging","1","105","100","540000","483","483"
"64","solitary foraging","1","120","100","180000","369","369"
"67","solitary foraging","1","120","100","360000","314","314"
"68","solitary foraging","1","120","100","420000","265","265"
"63","solitary foraging","1","120","100","120000","271","271"
"69","solitary foraging","1","120","100","480000","252","252"
"57","solitary foraging","1","105","100","360000","384","384"
"72","solitary foraging","1","135","100","60000","275","275"
"66","solitary foraging","1","120","100","300000","433","433"
"70","solitary foraging","1","120","100","540000","286","286"
"71","solitary foraging","1","135","100","0","556","556"
"73","solitary foraging","1","135","100","120000","366","366"
"75","solitary foraging","1","135","100","240000","396","396"
"74","solitary foraging","1","135","100","180000","531","531"
"77","solitary foraging","1","135","100","360000","375","375"
"78","solitary foraging","1","135","100","420000","220","220"
"81","solitary foraging","1","150","100","0","299","299"
"79","solitary foraging","1","135","100","480000","395","395"
"83","solitary foraging","1","150","100","120000","241","241"
"51","solitary foraging","1","105","100","0","497","497"
"45","solitary foraging","1","90","100","240000","521","521"
"80","solitary foraging","1","135","100","540000","594","594"
