"BehaviorSpace results (NetLogo 6.2.2)"
"Ants.nlogo"
"tandem carrying"
"03/30/2023 09:03:49:534 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","foraging_strategies","blob_count","food_amount","population","salt","[step]","ticks"
"10","tandem carrying","1","30","100","540000","146","146"
"5","tandem carrying","1","30","100","240000","181","181"
"9","tandem carrying","1","30","100","480000","290","290"
"4","tandem carrying","1","30","100","180000","279","279"
"14","tandem carrying","1","45","100","180000","227","227"
"2","tandem carrying","1","30","100","60000","324","324"
"8","tandem carrying","1","30","100","420000","314","314"
"12","tandem carrying","1","45","100","60000","315","315"
"6","tandem carrying","1","30","100","300000","480","480"
"1","tandem carrying","1","30","100","0","475","475"
"13","tandem carrying","1","45","100","120000","443","443"
"11","tandem carrying","1","45","100","0","442","442"
"3","tandem carrying","1","30","100","120000","404","404"
"15","tandem carrying","1","45","100","240000","404","404"
"7","tandem carrying","1","30","100","360000","399","399"
"20","tandem carrying","1","45","100","540000","253","253"
"21","tandem carrying","1","60","100","0","398","398"
"18","tandem carrying","1","45","100","420000","349","349"
"25","tandem carrying","1","60","100","240000","442","442"
"17","tandem carrying","1","45","100","360000","455","455"
"23","tandem carrying","1","60","100","120000","569","569"
"26","tandem carrying","1","60","100","300000","493","493"
"22","tandem carrying","1","60","100","60000","559","559"
"19","tandem carrying","1","45","100","480000","480","480"
"28","tandem carrying","1","60","100","420000","352","352"
"34","tandem carrying","1","75","100","180000","295","295"
"16","tandem carrying","1","45","100","300000","709","709"
"32","tandem carrying","1","75","100","60000","321","321"
"31","tandem carrying","1","75","100","0","451","451"
"30","tandem carrying","1","60","100","540000","408","408"
"33","tandem carrying","1","75","100","120000","405","405"
"24","tandem carrying","1","60","100","180000","534","534"
"29","tandem carrying","1","60","100","480000","499","499"
"37","tandem carrying","1","75","100","360000","451","451"
"38","tandem carrying","1","75","100","420000","382","382"
"27","tandem carrying","1","60","100","360000","574","574"
"43","tandem carrying","1","90","100","120000","270","270"
"35","tandem carrying","1","75","100","240000","633","633"
"41","tandem carrying","1","90","100","0","454","454"
"42","tandem carrying","1","90","100","60000","377","377"
"40","tandem carrying","1","75","100","540000","599","599"
"39","tandem carrying","1","75","100","480000","436","436"
"36","tandem carrying","1","75","100","300000","616","616"
"44","tandem carrying","1","90","100","180000","372","372"
"46","tandem carrying","1","90","100","300000","411","411"
"50","tandem carrying","1","90","100","540000","336","336"
"55","tandem carrying","1","105","100","240000","321","321"
"47","tandem carrying","1","90","100","360000","535","535"
"54","tandem carrying","1","105","100","180000","333","333"
"49","tandem carrying","1","90","100","480000","478","478"
"45","tandem carrying","1","90","100","240000","585","585"
"53","tandem carrying","1","105","100","120000","454","454"
"58","tandem carrying","1","105","100","420000","301","301"
"56","tandem carrying","1","105","100","300000","469","469"
"48","tandem carrying","1","90","100","420000","626","626"
"52","tandem carrying","1","105","100","60000","601","601"
"57","tandem carrying","1","105","100","360000","533","533"
"59","tandem carrying","1","105","100","480000","358","358"
"51","tandem carrying","1","105","100","0","673","673"
"63","tandem carrying","1","120","100","120000","395","395"
"65","tandem carrying","1","120","100","240000","438","438"
"64","tandem carrying","1","120","100","180000","411","411"
"62","tandem carrying","1","120","100","60000","524","524"
"60","tandem carrying","1","105","100","540000","665","665"
"69","tandem carrying","1","120","100","480000","363","363"
"68","tandem carrying","1","120","100","420000","402","402"
"67","tandem carrying","1","120","100","360000","396","396"
"70","tandem carrying","1","120","100","540000","405","405"
"61","tandem carrying","1","120","100","0","590","590"
"72","tandem carrying","1","135","100","60000","416","416"
