"BehaviorSpace results (NetLogo 6.2.2)"
"Ants.nlogo"
"pheromone bomb"
"03/28/2023 16:35:32:481 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","foraging_strategies","blob_count","food_amount","population","[step]","ticks"
"8","pheromone bomb","1","45","100","125","125"
"3","pheromone bomb","1","30","100","171","171"
"7","pheromone bomb","1","45","100","229","229"
"1","pheromone bomb","1","30","100","224","224"
"2","pheromone bomb","1","30","100","268","268"
"5","pheromone bomb","1","30","100","260","260"
"14","pheromone bomb","1","60","100","153","153"
"6","pheromone bomb","1","45","100","328","328"
"9","pheromone bomb","1","45","100","190","190"
"4","pheromone bomb","1","30","100","378","378"
"13","pheromone bomb","1","60","100","256","256"
"12","pheromone bomb","1","60","100","192","192"
"16","pheromone bomb","1","75","100","158","158"
"11","pheromone bomb","1","60","100","171","171"
"17","pheromone bomb","1","75","100","154","154"
"18","pheromone bomb","1","75","100","216","216"
"15","pheromone bomb","1","60","100","295","295"
"25","pheromone bomb","1","90","100","157","157"
"19","pheromone bomb","1","75","100","348","348"
"22","pheromone bomb","1","90","100","431","431"
"10","pheromone bomb","1","45","100","330","330"
"21","pheromone bomb","1","90","100","230","230"
"30","pheromone bomb","1","105","100","215","215"
"29","pheromone bomb","1","105","100","361","361"
"20","pheromone bomb","1","75","100","450","450"
"23","pheromone bomb","1","90","100","470","470"
"28","pheromone bomb","1","105","100","337","337"
"27","pheromone bomb","1","105","100","448","448"
"26","pheromone bomb","1","105","100","307","307"
"31","pheromone bomb","1","120","100","359","359"
"35","pheromone bomb","1","120","100","313","313"
"24","pheromone bomb","1","90","100","346","346"
"32","pheromone bomb","1","120","100","357","357"
"39","pheromone bomb","1","135","100","296","296"
"36","pheromone bomb","1","135","100","372","372"
"34","pheromone bomb","1","120","100","265","265"
"37","pheromone bomb","1","135","100","422","422"
"45","pheromone bomb","1","150","100","255","255"
"38","pheromone bomb","1","135","100","522","522"
"40","pheromone bomb","1","135","100","401","401"
"47","pheromone bomb","1","165","100","241","241"
"42","pheromone bomb","1","150","100","442","442"
"33","pheromone bomb","1","120","100","456","456"
"46","pheromone bomb","1","165","100","299","299"
"44","pheromone bomb","1","150","100","187","187"
"43","pheromone bomb","1","150","100","419","419"
"41","pheromone bomb","1","150","100","250","250"
"49","pheromone bomb","1","165","100","475","475"
"52","pheromone bomb","1","180","100","279","279"
"53","pheromone bomb","1","180","100","287","287"
"58","pheromone bomb","1","195","100","258","258"
"56","pheromone bomb","1","195","100","293","293"
"54","pheromone bomb","1","180","100","415","415"
"50","pheromone bomb","1","165","100","450","450"
"51","pheromone bomb","1","180","100","414","414"
"48","pheromone bomb","1","165","100","384","384"
"55","pheromone bomb","1","180","100","327","327"
"60","pheromone bomb","1","195","100","491","491"
"65","pheromone bomb","1","210","100","279","279"
"63","pheromone bomb","1","210","100","280","280"
"59","pheromone bomb","1","195","100","353","353"
"66","pheromone bomb","1","225","100","318","318"
"64","pheromone bomb","1","210","100","342","342"
"62","pheromone bomb","1","210","100","421","421"
"67","pheromone bomb","1","225","100","299","299"
"57","pheromone bomb","1","195","100","409","409"
"68","pheromone bomb","1","225","100","362","362"
"61","pheromone bomb","1","210","100","535","535"
"71","pheromone bomb","1","240","100","318","318"
"70","pheromone bomb","1","225","100","408","408"
"74","pheromone bomb","1","240","100","331","331"
"76","pheromone bomb","1","255","100","365","365"
"73","pheromone bomb","1","240","100","311","311"
"72","pheromone bomb","1","240","100","413","413"
"69","pheromone bomb","1","225","100","421","421"
"75","pheromone bomb","1","240","100","340","340"
"77","pheromone bomb","1","255","100","368","368"
"83","pheromone bomb","1","270","100","359","359"
"85","pheromone bomb","1","270","100","274","274"
"81","pheromone bomb","1","270","100","498","498"
"80","pheromone bomb","1","255","100","529","529"
"84","pheromone bomb","1","270","100","382","382"
"82","pheromone bomb","1","270","100","507","507"
"79","pheromone bomb","1","255","100","381","381"
"78","pheromone bomb","1","255","100","459","459"
"88","pheromone bomb","1","285","100","421","421"
"87","pheromone bomb","1","285","100","290","290"
"86","pheromone bomb","1","285","100","398","398"
"100","pheromone bomb","3","30","100","126","126"
"96","pheromone bomb","3","30","100","196","196"
"90","pheromone bomb","1","285","100","338","338"
"92","pheromone bomb","1","300","100","301","301"
"93","pheromone bomb","1","300","100","306","306"
"94","pheromone bomb","1","300","100","315","315"
"98","pheromone bomb","3","30","100","254","254"
"97","pheromone bomb","3","30","100","260","260"
"99","pheromone bomb","3","30","100","244","244"
"89","pheromone bomb","1","285","100","549","549"
"101","pheromone bomb","3","45","100","295","295"
"105","pheromone bomb","3","45","100","233","233"
"103","pheromone bomb","3","45","100","272","272"
"104","pheromone bomb","3","45","100","253","253"
"95","pheromone bomb","1","300","100","444","444"
"107","pheromone bomb","3","60","100","218","218"
"102","pheromone bomb","3","45","100","285","285"
"91","pheromone bomb","1","300","100","424","424"
"106","pheromone bomb","3","60","100","431","431"
"111","pheromone bomb","3","75","100","267","267"
"116","pheromone bomb","3","90","100","209","209"
"108","pheromone bomb","3","60","100","322","322"
