"BehaviorSpace results (NetLogo 6.2.2)"
"Ants.nlogo"
"pheromone trails"
"03/28/2023 12:11:07:510 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","foraging_strategies","blob_count","food_amount","population","[step]","ticks"
"5","pheromone trails","1","30","100","67","67"
"3","pheromone trails","1","30","100","150","150"
"10","pheromone trails","1","45","100","140","140"
"8","pheromone trails","1","45","100","149","149"
"7","pheromone trails","1","45","100","188","188"
"2","pheromone trails","1","30","100","188","188"
"6","pheromone trails","1","45","100","184","184"
"11","pheromone trails","1","60","100","196","196"
"1","pheromone trails","1","30","100","236","236"
"18","pheromone trails","1","75","100","111","111"
"16","pheromone trails","1","75","100","139","139"
"4","pheromone trails","1","30","100","273","273"
"19","pheromone trails","1","75","100","127","127"
"9","pheromone trails","1","45","100","242","242"
"14","pheromone trails","1","60","100","223","223"
"21","pheromone trails","1","90","100","123","123"
"12","pheromone trails","1","60","100","252","252"
"13","pheromone trails","1","60","100","333","333"
"25","pheromone trails","1","90","100","257","257"
"17","pheromone trails","1","75","100","399","399"
"15","pheromone trails","1","60","100","310","310"
"22","pheromone trails","1","90","100","309","309"
"20","pheromone trails","1","75","100","286","286"
"26","pheromone trails","1","105","100","221","221"
"27","pheromone trails","1","105","100","342","342"
"32","pheromone trails","1","120","100","146","146"
"23","pheromone trails","1","90","100","277","277"
"24","pheromone trails","1","90","100","338","338"
"30","pheromone trails","1","105","100","284","284"
"33","pheromone trails","1","120","100","153","153"
"36","pheromone trails","1","135","100","162","162"
"31","pheromone trails","1","120","100","328","328"
"35","pheromone trails","1","120","100","219","219"
"29","pheromone trails","1","105","100","280","280"
"34","pheromone trails","1","120","100","304","304"
"28","pheromone trails","1","105","100","457","457"
"37","pheromone trails","1","135","100","390","390"
"44","pheromone trails","1","150","100","234","234"
"39","pheromone trails","1","135","100","290","290"
"38","pheromone trails","1","135","100","464","464"
"42","pheromone trails","1","150","100","329","329"
"45","pheromone trails","1","150","100","288","288"
"43","pheromone trails","1","150","100","328","328"
"40","pheromone trails","1","135","100","419","419"
"48","pheromone trails","1","165","100","256","256"
"47","pheromone trails","1","165","100","311","311"
"41","pheromone trails","1","150","100","659","659"
"51","pheromone trails","1","180","100","288","288"
"52","pheromone trails","1","180","100","291","291"
"49","pheromone trails","1","165","100","345","345"
"46","pheromone trails","1","165","100","356","356"
"56","pheromone trails","1","195","100","301","301"
"58","pheromone trails","1","195","100","261","261"
"50","pheromone trails","1","165","100","402","402"
"54","pheromone trails","1","180","100","302","302"
"59","pheromone trails","1","195","100","244","244"
"53","pheromone trails","1","180","100","440","440"
"61","pheromone trails","1","210","100","231","231"
"55","pheromone trails","1","180","100","452","452"
"63","pheromone trails","1","210","100","243","243"
"57","pheromone trails","1","195","100","496","496"
"65","pheromone trails","1","210","100","320","320"
"62","pheromone trails","1","210","100","366","366"
"60","pheromone trails","1","195","100","456","456"
"68","pheromone trails","1","225","100","255","255"
"70","pheromone trails","1","225","100","293","293"
"66","pheromone trails","1","225","100","396","396"
"67","pheromone trails","1","225","100","331","331"
"64","pheromone trails","1","210","100","533","533"
"73","pheromone trails","1","240","100","253","253"
"69","pheromone trails","1","225","100","397","397"
"71","pheromone trails","1","240","100","391","391"
"77","pheromone trails","1","255","100","261","261"
"72","pheromone trails","1","240","100","329","329"
"75","pheromone trails","1","240","100","383","383"
"80","pheromone trails","1","255","100","252","252"
"74","pheromone trails","1","240","100","447","447"
"76","pheromone trails","1","255","100","426","426"
"81","pheromone trails","1","270","100","279","279"
"83","pheromone trails","1","270","100","289","289"
"79","pheromone trails","1","255","100","512","512"
"82","pheromone trails","1","270","100","331","331"
"86","pheromone trails","1","285","100","260","260"
"78","pheromone trails","1","255","100","593","593"
"89","pheromone trails","1","285","100","233","233"
"84","pheromone trails","1","270","100","390","390"
"90","pheromone trails","1","285","100","276","276"
"85","pheromone trails","1","270","100","411","411"
"87","pheromone trails","1","285","100","367","367"
"94","pheromone trails","1","300","100","258","258"
"88","pheromone trails","1","285","100","449","449"
"93","pheromone trails","1","300","100","347","347"
"91","pheromone trails","1","300","100","514","514"
"99","pheromone trails","3","30","100","266","266"
"92","pheromone trails","1","300","100","454","454"
"95","pheromone trails","1","300","100","354","354"
"104","pheromone trails","3","45","100","205","205"
"100","pheromone trails","3","30","100","393","393"
"97","pheromone trails","3","30","100","494","494"
"96","pheromone trails","3","30","100","561","561"
"98","pheromone trails","3","30","100","397","397"
"101","pheromone trails","3","45","100","540","540"
"102","pheromone trails","3","45","100","503","503"
"103","pheromone trails","3","45","100","397","397"
"106","pheromone trails","3","60","100","570","570"
"105","pheromone trails","3","45","100","487","487"
"112","pheromone trails","3","75","100","451","451"
"110","pheromone trails","3","60","100","503","503"
"108","pheromone trails","3","60","100","583","583"
"109","pheromone trails","3","60","100","554","554"
"111","pheromone trails","3","75","100","618","618"
"107","pheromone trails","3","60","100","604","604"
"113","pheromone trails","3","75","100","548","548"
"119","pheromone trails","3","90","100","344","344"
"115","pheromone trails","3","75","100","489","489"
