"BehaviorSpace results (NetLogo 6.2.2)"
"Ants.nlogo"
"prey chain transfer"
"03/28/2023 15:35:58:900 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","foraging_strategies","blob_count","food_amount","population","[step]","ticks"
"9","prey chain transfer","1","45","100","140","140"
"4","prey chain transfer","1","30","100","181","181"
"2","prey chain transfer","1","30","100","243","243"
"5","prey chain transfer","1","30","100","240","240"
"8","prey chain transfer","1","45","100","123","123"
"1","prey chain transfer","1","30","100","235","235"
"13","prey chain transfer","1","60","100","212","212"
"15","prey chain transfer","1","60","100","173","173"
"14","prey chain transfer","1","60","100","213","213"
"3","prey chain transfer","1","30","100","332","332"
"16","prey chain transfer","1","75","100","247","247"
"10","prey chain transfer","1","45","100","371","371"
"6","prey chain transfer","1","45","100","516","516"
"19","prey chain transfer","1","75","100","208","208"
"11","prey chain transfer","1","60","100","342","342"
"20","prey chain transfer","1","75","100","366","366"
"18","prey chain transfer","1","75","100","394","394"
"23","prey chain transfer","1","90","100","304","304"
"26","prey chain transfer","1","105","100","336","336"
"24","prey chain transfer","1","90","100","385","385"
"25","prey chain transfer","1","90","100","384","384"
"17","prey chain transfer","1","75","100","266","266"
"21","prey chain transfer","1","90","100","402","402"
"22","prey chain transfer","1","90","100","524","524"
"28","prey chain transfer","1","105","100","269","269"
"30","prey chain transfer","1","105","100","236","236"
"12","prey chain transfer","1","60","100","339","339"
"7","prey chain transfer","1","45","100","398","398"
"29","prey chain transfer","1","105","100","314","314"
"31","prey chain transfer","1","120","100","258","258"
"27","prey chain transfer","1","105","100","393","393"
"36","prey chain transfer","1","135","100","223","223"
"35","prey chain transfer","1","120","100","265","265"
"37","prey chain transfer","1","135","100","263","263"
"33","prey chain transfer","1","120","100","350","350"
"38","prey chain transfer","1","135","100","273","273"
"41","prey chain transfer","1","150","100","314","314"
"42","prey chain transfer","1","150","100","385","385"
"47","prey chain transfer","1","165","100","263","263"
"32","prey chain transfer","1","120","100","529","529"
"43","prey chain transfer","1","150","100","437","437"
"34","prey chain transfer","1","120","100","364","364"
"45","prey chain transfer","1","150","100","410","410"
"40","prey chain transfer","1","135","100","258","258"
"44","prey chain transfer","1","150","100","487","487"
"51","prey chain transfer","1","180","100","264","264"
"52","prey chain transfer","1","180","100","259","259"
"49","prey chain transfer","1","165","100","417","417"
"48","prey chain transfer","1","165","100","459","459"
