"BehaviorSpace results (NetLogo 6.2.2)"
"Ants.nlogo"
"solitary foraging"
"03/28/2023 13:13:14:562 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","foraging_strategies","blob_count","food_amount","population","[step]","ticks"
"1","solitary foraging","1","30","100","96","96"
"3","solitary foraging","1","30","100","105","105"
"4","solitary foraging","1","30","100","132","132"
"6","solitary foraging","1","45","100","183","183"
"5","solitary foraging","1","30","100","228","228"
"2","solitary foraging","1","30","100","224","224"
"14","solitary foraging","1","60","100","172","172"
"7","solitary foraging","1","45","100","239","239"
"8","solitary foraging","1","45","100","347","347"
"11","solitary foraging","1","60","100","188","188"
"15","solitary foraging","1","60","100","319","319"
"13","solitary foraging","1","60","100","410","410"
"19","solitary foraging","1","75","100","246","246"
"18","solitary foraging","1","75","100","317","317"
"20","solitary foraging","1","75","100","324","324"
"17","solitary foraging","1","75","100","439","439"
"16","solitary foraging","1","75","100","360","360"
"23","solitary foraging","1","90","100","277","277"
"21","solitary foraging","1","90","100","390","390"
"12","solitary foraging","1","60","100","308","308"
"26","solitary foraging","1","105","100","378","378"
"25","solitary foraging","1","90","100","321","321"
"24","solitary foraging","1","90","100","289","289"
"29","solitary foraging","1","105","100","265","265"
"30","solitary foraging","1","105","100","302","302"
"27","solitary foraging","1","105","100","352","352"
"31","solitary foraging","1","120","100","427","427"
"9","solitary foraging","1","45","100","347","347"
"10","solitary foraging","1","45","100","357","357"
"35","solitary foraging","1","120","100","309","309"
"28","solitary foraging","1","105","100","472","472"
"36","solitary foraging","1","135","100","313","313"
"33","solitary foraging","1","120","100","434","434"
"37","solitary foraging","1","135","100","383","383"
"39","solitary foraging","1","135","100","335","335"
"38","solitary foraging","1","135","100","386","386"
"22","solitary foraging","1","90","100","476","476"
"43","solitary foraging","1","150","100","345","345"
"34","solitary foraging","1","120","100","584","584"
"44","solitary foraging","1","150","100","424","424"
"46","solitary foraging","1","165","100","296","296"
"42","solitary foraging","1","150","100","562","562"
"32","solitary foraging","1","120","100","340","340"
"50","solitary foraging","1","165","100","246","246"
