"","X.run.number.","foraging_strategies","blob_count","food_amount","population","ticks"
"1",1,"tandem carrying",1,30,100,501
"2",2,"tandem carrying",1,30,100,312
"3",3,"tandem carrying",1,30,100,372
"4",58,"tandem carrying",3,30,100,292
"5",59,"tandem carrying",3,30,100,471
"6",60,"tandem carrying",3,30,100,267
"7",115,"tandem carrying",5,30,100,197
"8",116,"tandem carrying",5,30,100,266
"9",117,"tandem carrying",5,30,100,286
"10",172,"tandem carrying",7,30,100,276
"11",173,"tandem carrying",7,30,100,394
"12",174,"tandem carrying",7,30,100,327
"13",229,"tandem carrying",9,30,100,355
"14",230,"tandem carrying",9,30,100,353
"15",231,"tandem carrying",9,30,100,342
"16",286,"tandem carrying",11,30,100,315
"17",287,"tandem carrying",11,30,100,282
"18",288,"tandem carrying",11,30,100,288
"19",343,"tandem carrying",13,30,100,249
"20",344,"tandem carrying",13,30,100,263
"21",345,"tandem carrying",13,30,100,231
"22",400,"tandem carrying",15,30,100,282
"23",401,"tandem carrying",15,30,100,304
"24",402,"tandem carrying",15,30,100,246
"25",457,"tandem carrying",17,30,100,229
"26",458,"tandem carrying",17,30,100,236
"27",459,"tandem carrying",17,30,100,341
"28",514,"tandem carrying",19,30,100,345
"29",515,"tandem carrying",19,30,100,277
"30",516,"tandem carrying",19,30,100,339
"31",571,"tandem carrying",21,30,100,247
"32",572,"tandem carrying",21,30,100,295
"33",573,"tandem carrying",21,30,100,313
"34",628,"tandem carrying",23,30,100,298
"35",629,"tandem carrying",23,30,100,236
"36",630,"tandem carrying",23,30,100,264
"37",685,"tandem carrying",25,30,100,353
"38",686,"tandem carrying",25,30,100,240
"39",687,"tandem carrying",25,30,100,223
"40",742,"tandem carrying",27,30,100,248
"41",743,"tandem carrying",27,30,100,254
"42",744,"tandem carrying",27,30,100,233
"43",799,"tandem carrying",29,30,100,213
"44",800,"tandem carrying",29,30,100,210
"45",801,"tandem carrying",29,30,100,245
"46",856,"tandem carrying",31,30,100,264
"47",857,"tandem carrying",31,30,100,263
"48",858,"tandem carrying",31,30,100,250
"49",913,"tandem carrying",33,30,100,226
"50",914,"tandem carrying",33,30,100,296
"51",915,"tandem carrying",33,30,100,244
"52",970,"tandem carrying",35,30,100,246
"53",971,"tandem carrying",35,30,100,257
"54",972,"tandem carrying",35,30,100,275
"55",1027,"tandem carrying",37,30,100,237
"56",1028,"tandem carrying",37,30,100,260
"57",1029,"tandem carrying",37,30,100,251
"58",1084,"tandem carrying",39,30,100,276
"59",1085,"tandem carrying",39,30,100,228
"60",1086,"tandem carrying",39,30,100,265
"61",1141,"tandem carrying",41,30,100,240
"62",1142,"tandem carrying",41,30,100,237
"63",1143,"tandem carrying",41,30,100,261
"64",1198,"tandem carrying",43,30,100,230
"65",1199,"tandem carrying",43,30,100,260
"66",1200,"tandem carrying",43,30,100,275
"67",1255,"tandem carrying",45,30,100,237
"68",1256,"tandem carrying",45,30,100,234
"69",1257,"tandem carrying",45,30,100,262
"70",1312,"tandem carrying",47,30,100,261
"71",1313,"tandem carrying",47,30,100,277
"72",1314,"tandem carrying",47,30,100,256
"73",1369,"tandem carrying",49,30,100,233
"74",1370,"tandem carrying",49,30,100,205
"75",1371,"tandem carrying",49,30,100,250
"76",1426,"tandem carrying",51,30,100,293
"77",1427,"tandem carrying",51,30,100,240
"78",1428,"tandem carrying",51,30,100,257
"79",4,"tandem carrying",1,45,100,472
"80",5,"tandem carrying",1,45,100,191
"81",6,"tandem carrying",1,45,100,349
"82",61,"tandem carrying",3,45,100,313
"83",62,"tandem carrying",3,45,100,311
"84",63,"tandem carrying",3,45,100,382
"85",118,"tandem carrying",5,45,100,415
"86",119,"tandem carrying",5,45,100,364
"87",120,"tandem carrying",5,45,100,352
"88",175,"tandem carrying",7,45,100,277
"89",176,"tandem carrying",7,45,100,390
"90",177,"tandem carrying",7,45,100,307
"91",232,"tandem carrying",9,45,100,330
"92",233,"tandem carrying",9,45,100,445
"93",234,"tandem carrying",9,45,100,385
"94",289,"tandem carrying",11,45,100,415
"95",290,"tandem carrying",11,45,100,314
"96",291,"tandem carrying",11,45,100,341
"97",346,"tandem carrying",13,45,100,327
"98",347,"tandem carrying",13,45,100,301
"99",348,"tandem carrying",13,45,100,321
"100",403,"tandem carrying",15,45,100,286
"101",404,"tandem carrying",15,45,100,305
"102",405,"tandem carrying",15,45,100,437
"103",460,"tandem carrying",17,45,100,278
"104",461,"tandem carrying",17,45,100,442
"105",462,"tandem carrying",17,45,100,300
"106",517,"tandem carrying",19,45,100,318
"107",518,"tandem carrying",19,45,100,436
"108",519,"tandem carrying",19,45,100,332
"109",574,"tandem carrying",21,45,100,311
"110",575,"tandem carrying",21,45,100,329
"111",576,"tandem carrying",21,45,100,358
"112",631,"tandem carrying",23,45,100,284
"113",632,"tandem carrying",23,45,100,362
"114",633,"tandem carrying",23,45,100,298
"115",688,"tandem carrying",25,45,100,301
"116",689,"tandem carrying",25,45,100,398
"117",690,"tandem carrying",25,45,100,263
"118",745,"tandem carrying",27,45,100,341
"119",746,"tandem carrying",27,45,100,401
"120",747,"tandem carrying",27,45,100,279
"121",802,"tandem carrying",29,45,100,260
"122",803,"tandem carrying",29,45,100,279
"123",804,"tandem carrying",29,45,100,316
"124",859,"tandem carrying",31,45,100,266
"125",860,"tandem carrying",31,45,100,314
"126",861,"tandem carrying",31,45,100,331
"127",916,"tandem carrying",33,45,100,301
"128",917,"tandem carrying",33,45,100,251
"129",918,"tandem carrying",33,45,100,287
"130",973,"tandem carrying",35,45,100,376
"131",974,"tandem carrying",35,45,100,278
"132",975,"tandem carrying",35,45,100,299
"133",1030,"tandem carrying",37,45,100,277
"134",1031,"tandem carrying",37,45,100,274
"135",1032,"tandem carrying",37,45,100,245
"136",1087,"tandem carrying",39,45,100,279
"137",1088,"tandem carrying",39,45,100,286
"138",1089,"tandem carrying",39,45,100,274
"139",1144,"tandem carrying",41,45,100,308
"140",1145,"tandem carrying",41,45,100,273
"141",1146,"tandem carrying",41,45,100,287
"142",1201,"tandem carrying",43,45,100,322
"143",1202,"tandem carrying",43,45,100,232
"144",1203,"tandem carrying",43,45,100,291
"145",1258,"tandem carrying",45,45,100,274
"146",1259,"tandem carrying",45,45,100,271
"147",1260,"tandem carrying",45,45,100,258
"148",1315,"tandem carrying",47,45,100,250
"149",1316,"tandem carrying",47,45,100,247
"150",1317,"tandem carrying",47,45,100,308
"151",1372,"tandem carrying",49,45,100,381
"152",1373,"tandem carrying",49,45,100,271
"153",1374,"tandem carrying",49,45,100,273
"154",1429,"tandem carrying",51,45,100,248
"155",1430,"tandem carrying",51,45,100,232
"156",1431,"tandem carrying",51,45,100,251
"157",7,"tandem carrying",1,60,100,260
"158",8,"tandem carrying",1,60,100,532
"159",9,"tandem carrying",1,60,100,398
"160",64,"tandem carrying",3,60,100,512
"161",65,"tandem carrying",3,60,100,373
"162",66,"tandem carrying",3,60,100,566
"163",121,"tandem carrying",5,60,100,443
"164",122,"tandem carrying",5,60,100,398
"165",123,"tandem carrying",5,60,100,337
"166",178,"tandem carrying",7,60,100,443
"167",179,"tandem carrying",7,60,100,500
"168",180,"tandem carrying",7,60,100,616
"169",235,"tandem carrying",9,60,100,336
"170",236,"tandem carrying",9,60,100,466
"171",237,"tandem carrying",9,60,100,563
"172",292,"tandem carrying",11,60,100,338
"173",293,"tandem carrying",11,60,100,399
"174",294,"tandem carrying",11,60,100,355
"175",349,"tandem carrying",13,60,100,326
"176",350,"tandem carrying",13,60,100,352
"177",351,"tandem carrying",13,60,100,377
"178",406,"tandem carrying",15,60,100,398
"179",407,"tandem carrying",15,60,100,406
"180",408,"tandem carrying",15,60,100,429
"181",463,"tandem carrying",17,60,100,358
"182",464,"tandem carrying",17,60,100,408
"183",465,"tandem carrying",17,60,100,326
"184",520,"tandem carrying",19,60,100,375
"185",521,"tandem carrying",19,60,100,320
"186",522,"tandem carrying",19,60,100,345
"187",577,"tandem carrying",21,60,100,384
"188",578,"tandem carrying",21,60,100,339
"189",579,"tandem carrying",21,60,100,421
"190",634,"tandem carrying",23,60,100,275
"191",635,"tandem carrying",23,60,100,429
"192",636,"tandem carrying",23,60,100,355
"193",691,"tandem carrying",25,60,100,367
